"Relationship Focus","Adversarial Disposition","Target Relationship Focus","Target Adversarial Disposition Focus","Script Function (ongoing)","Strategy ","Phrases en","Phrase de","Search tokens en","Search tokens de","Example en 1","Example en 2","Example en 3","Example de 1","Example de 2","Example de 3"
"low","high","low","low","Bargaining","Auf Gemeinsamkeiten verweisen","You are working towards a similar goal;  You come from a similar background","Sie arbeiten auf ein ähnliches Ziel hin; Sie kommen aus einem ähnlichen Umfeld","'common goal'","'gemeinsames Ziel'; 'gemeinsame Sache'",,,,,,
"low","high","low","low","Bargaining","Kompromiss finden/ Diskussion  in Frieden  beenden","Let's agree to disagree  ","Einigen wir uns darauf, unterschiedlicher Meinung zu sein  ","(Let OR 'let us') agree disagree;","('Lassen Sie' OR 'lassen Sie uns') zustimmen; ('Lassen Sie' OR 'lassen Sie uns') nicht zustimmen; einig uneinig ",,,,,,
"low","high","low","low","Bargaining","Perspektive anderer verstehen/nachvollziehen","You have a valid point","Sie haben einen guten Standpunkt","'valid point'","'guter Punkt'",,,,,,
"low","high","low","low","Bargaining","Aufforderung, eigene Meinung zu erläutern","Can you maybe explain that further; Why do you feel that way? ","Könnten Sie das vielleicht näher erläutern? Warum denken Sie so? ","'explain further'","weiter erklären",,,,,,
"high ","low","low","low","Relationship Maintenance","Improve relationship","Why are you so personal about this?;All here are human and have feelings (except me, I am a bot);It does not make sense to make this personal with everyone being anonymous!","Alle hier sind Menschen und haben Gefühle (außer mir, ich bin ein Bot); Es macht keinen Sinn, dies persönlich zu machen, wenn alle anonym sind!","'take it personal'","'persönlich nehmen'; 'nimm es nicht persönlich'",,,,,,
"high ","high","low","high","Open Conflict","Auf das Thema zurückführen","Perhaps we could get back to the main point;Let's focus on the Issue at hand,Stay on the topic, please!;What are you talking about! Can you explain it to me?","Vielleicht könnten wir zum Hauptpunkt zurückkehren;Konzentrieren wir uns auf das vorliegende Thema, bleiben Sie bitte beim Thema!;Wovon reden Sie? Können Sie mir das erklären?","'get back to the main point'; 'focus on issue'; 'explain to me' 'talking about'","'zurück zum Wesentlichen'; 'Fokus auf das Thema'; erklär mir worüber ",,,,,,
"high ","high","low","high","Open Conflict","Tone Policing"," Let's focus on Constructive Critisism "," Konzentrieren wir uns auf konstruktive Kritik ","'constructive criticism'","'konstruktive Kritik'",,,,,,
"high","high","high","low","Open Conflict","Point of differing interest structures","What do you hope to get out of this? What's your intention/reasoning?","Was erhoffen Sie sich von der Sache?","'what is your intention'; 'trying to get at'","'Was erhoffst du dir' ; 'Welche Absicht hast du'",,,,,,
"low","high","low","high","Bargaining","Increase Bargaining Space","Are there more aspects that need to be included?; In a perfect world, what would be the biggest common denominator?; How do we move forwards?","Gibt es weitere Aspekte, die einbezogen werden müssen?; Was wäre in einer perfekten Welt der größte gemeinsame Nenner?; Wie kommen wir voran?","'move forward' disussion","(andere OR mehr OR weitere OR neue) Aspekte; 'sich nach vorne bewegen'; (anderer OR  weiterer OR neuer) Aspekt",,,,,,
"low","low","low","low","Argumentation","Support Consensus Building","What are common assumptions you share?; Which of the arguments presented above is better?;What can we agree upon?","Welches sind die gemeinsamen Annahmen, die Sie teilen? Welches der oben genannten Argumente ist besser?","'shared assumptions'; arguments presented better; 'agree upon'","'gemeinsame Annahmen'; 'Argumente besser darstellen'; 'Argument zustimmen'",,,,,,
"low","low","low","low","Consensus building","Summarize important points","My takeaways from this are; To recap what has been said; in summary…","Meine Schlussfolgerungen daraus sind: Um das Gesagte noch einmal zusammenzufassen...","recap;summary","Rekapitulier;Zusammenfass; Schlussfolg",,,,,,
"low","low","low","high","Unproductive Agreement","Invite new perspectives","I am happy to hear any opinion; curious to hear; any comments;any questions","Ich freue mich über jede Meinung und bin neugierig auf Kommentare und Fragen. Ich bin gespannt auf deine Meinung!","'hear opinion'; 'curious to hear'","'Meinung hören'; 'neugierig hören'; 'gespannt auf Meinung'",,,,,,
"high","high","low","low","Open Conflict","Tone Policing","Let's keep the discussion civil","Lassen Sie uns die Diskussion zivilisiert führen","civil discussion","respektvoll Diskussion",,,,,,
focus on issue
