word, language, category, pol_correct_word
beaner,en,eth,Latinos
chinc,en,eth,Asians
chink,en,eth,Asians
dego,en,eth,Italians
gook,en,eth,Koreans
heeb,en,rel,Jewish
kyke,en,rel,Jewish
jigaboo,en,rac,Black People
negro,en,rac,Black People
nigger,en,rac,Black People
niglet,en,rac,Black People
porchmonkey,en,rac,Black People
pollock,en,eth,Polish
sandnigger,en,rac,Arabs
spic,en,eth,Hispanics
junglebunny,en,rac,Black People
spick,en,eth,Hispanics
spic,en,eth,Hispanics
wetback,en,eth,Mexicans
dyke,en,sex,Lesbian
skank,en,sex,Promiscuous People
carpetmuncher,en,sex,Lesbian
fudgepacker,en,sex,Homosexuals
lesbo,en,sex,Lesbian
lezzie,en,sex,Lesbian
Judensau,de,rel,Juden
Kopftuchträger,de,rel,Muslims
Neger,de,rac,Schwarze
Schlitzauge,de,eth,Asiate
Zigeuner,de,eth,Sinti und Roma
Schwuchtel,de,sex,Homosexuelle
Abbo,en,rac,Aboriginal Australians
Bluegum,en,rac,Africans
Crucco,en,eth,Germans
Bohunk,en,rac,Czech
Bougnoule,en,rac,Arabs
Goombah,en,eth,Italians
Greaseball,en,eth,Italians
Injun,en,rac,Native Americans
Bozgor,en,rac,Hungarians
Bootlip,en,rac,African Americans
Arabush,en,eth,Arabs
Kanake,de,rac,Türken
Polaco,es,eth,Polish
Sheeny,en,rel,Jewish
Ukrop,en,eth,Ukrainian
Spasten,de,bod,Menschen mit Behinderung
